id_channel,group_name
1601423054,IT ARMY of Ukraine
1351412444,Cyber Club (Support)
1542954397,Termux Israel 🇮🇱
1630738080,𝐈𝐍𝐃𝐈𝐀𝐍 𝐂𝐘𝐁𝐄𝐑 𝐅𝐎𝐑𝐂𝐄
1920809906,Sιʅҽɳƚ Oɳҽ (कट्टर हिन्दू 🚩)
1952761575,GlorySec
1972268524,𝐊𝐄𝐑𝐀𝐋𝐀 𝐂𝐘𝐁𝐄𝐑 𝐓𝐇𝐔𝐍𝐃𝐄𝐑𝐒
1756441965,TeAm UcC OpErAtIoNs • ıllıll
1906766857,𝐀𝐍𝐎𝐍𝐘𝐌𝐎𝐔𝐒 𝐈𝐍𝐃𝐈𝐀
1940650985,DARK CYBER WARRIOR
1955712467,ThreatSec
1836609198,𝐈𝐍𝐃𝐈𝐀𝐍 𝐃𝐀𝐑𝐊𝐍𝐄𝐓 𝐀𝐒𝐒𝐎𝐂𝐈𝐀𝐓𝐈𝐎𝐍
1920279046,Garuna Ops
1985410673, Kerala Cyber Xtractors
1574796698,ICD - Israel Cyber Defense
1922060993,𝐓𝐄𝐀𝐌 𝐍𝐖𝐇 𝐒𝐄𝐂𝐔𝐑𝐈𝐓𝐘
